Model,CV R² mean,CV R² std,MAE (₹),RMSE (₹),MAPE (%),R² (log),R² (₹),Fit time (s)
Gradient Boosting,0.9137186297255848,0.0068666806074462365,72410.7787268057,120628.42943107052,15.96964369303427,0.9189195552291625,0.9044932856337755,6.026508951187134
Random Forest,0.9042825431884797,0.00576872149606059,74470.47485305714,134254.65134602087,16.218999262879358,0.9113407632404693,0.8816976858684377,5.704141664505005
Linear Regression,0.8751730545479155,0.01273148993452624,92081.08414685303,156339.83080428053,19.766101090869654,0.8836863283730787,0.8395743405781338,0.250152587890625
Ridge Regression,0.8752630928806899,0.012748897501725871,92104.71123390786,156383.27639707804,19.761544237632204,0.8838650879285231,0.8394851661654215,0.0736008644104004
